Company,Ticker,Product,Market,Currency,Industry
AAK AB ,6AA0.F,Stock,FRA,EUR,Plant-based food
Falck Renewables SpA,AA4.L,Stock,FRA,EUR,Renewable energy
Acciona SA (ACXIF),ACXIF,Stock,OTCMKTS,USD,Clean water and oceans
AES Corp (AES),AES,Stock,NYSE,USD,Renewable energy
Albemarle Corp,ALB,Stock,NYSE,USD,Transportation of the future
Ameresco Inc (AMRC),AMRC,Stock,NYSE,USD,Energy-saving technology
American Superconductor Corporation (AMSC),AMSC,Stock,NASDAQ,USD,Energy-saving technology
Aemetis Inc (AMTX),AMTX,Stock,NASDAQ,USD,Renewable energy
America Water Works Company Inc,AWK,Stock,NYSE,USD,Clean water and oceans
Construcciones y Auxiliar de Ferrocarriles SA,AXF1.F,Stock,FRA,EUR,Transportation of the future
Azure Power (AZRE),AZRE,Stock,NYSE,USD,Renewable energy
Bloom Energy Corp (BE),BE,Stock,NYSE,USD,Transportation of the future
Brookfield Renewable Partners LP (BEP),BEP,Stock,NYSE,USD,Renewable energy
Befesa SA,BFSA.F,Stock,FRA,EUR,Circular economy
Ballard Power Systems (BLDP),BLDP,Stock,NASDAQ,USD,Transportation of the future
Beyond Meat (BYND),BYND,Stock,NASDAQ,USD,Plant-based food
"Clean Harbors, Inc. (CLH)",CLH,Stock,NYSE,USD,Circular economy
Capstone Turbine Corporation (CPST),CPST,Stock,NASDAQ,USD,Energy-saving technology
"Cree, Inc. (CREE)",CREE,Stock,NASDAQ,USD,Energy-saving technology
Canadian Solar Inc. (CSIQ),CSIQ,Stock,NASDAQ,USD,Renewable energy
Corbion NV,CSUA.BE,Stock,FRA,EUR,Plant-based food
Covanta Holding Corp (CVA),CVA,Stock,NYSE,USD,Renewable energy
Casella Waste Systems Inc,CWST,Stock,NASDAQ,USD,Circular economy
Nel ASA,D7G.F,Stock,FRA,EUR,Transportation of the future
"Deep Green Waste & Recycling, Inc. (DGWR)",DGWR,Stock,OTCMKTS,USD,Circular economy
Orsted A S Unsponsored ADR (DNNGY),DNNGY,Stock,OTCMKTS,USD,Renewable energy
dynaCERT Inc. (DYFSF),DYFSF,Stock,OTCMKTS,USD,Energy-saving technology
EDP Renovaveis SA,EDW.BE,Stock,FRA,EUR,Renewable energy
Enphase Energy (ENPH),ENPH,Stock,NASDAQ,USD,Renewable energy
Enviva (EVA),EVA,Stock,NYSE,USD,Renewable energy
VanEck Vectors Circular economy (EVX),EVX,ETF,ARCA,USD,Circular economy
First Trust Global Wind Energy (FAN),FAN,ETF,ARCA,USD,Renewable energy
FuelCell Energy Inc (FCEL),FCEL,Stock,NASDAQ,USD,Transportation of the future
FirstGroup PLC,FGR.AX,Stock,FRA,EUR,Transportation of the future
First Solar (FSLR),FSLR,Stock,NASDAQ,USD,Renewable energy
Siemens Gamesa Renewable Energy Unsponsored ADR (GCTAY),GCTAY,Stock,OTCMKTS,USD,Renewable energy
Green Plains Inc (GPRE),GPRE,Stock,NASDAQ,USD,Renewable energy
Hain Celestial Group Inc,HAIN,Stock,NASDAQ,USD,Plant-based food
