Company,Ticker,Market,Industry
Umicore SA,UMICY,OTCMKTS,Circular economy
Kontrol Energy Corp.,KNRLF,OTCMKTS,Energy-saving technology
Veolia Environnement SA,VEOEY,OTCMKTS,Clean water and oceans
Consolidated Water Co. Ltd.,CWCO,NASDAQ,Clean water and oceans
SJW Water,SJW,NYSE,Clean water and oceans
Burcon Nutrascience corporation,BU.TO,NYSE,Plant-based food
Vestas Wind Systems AS ADR (VWDRY),VWDRY,OTCMKTS,Renewable energy
Alstom,ALSMY,OTCMKTS,Transportation of the future
Azure Power (AZRE),AZRE,NYSE,Renewable energy
Badger Meter,BMI,NASDAQ,Clean water and oceans
US Ecology Inc,ECOL,NASDAQ,Clean water and oceans
Capstone Turbine Corporation (CPST),CPST,NASDAQ,Energy-saving technology
"Energy Recovery, Inc.",ERII,NASDAQ,Clean water and oceans
Casella Waste Systems Inc,CWST,NASDAQ,Circular economy
"Itron, Inc.",ITRI,NASDAQ,Energy-saving technology
"Clean Harbors, Inc. (CLH)",CLH,NYSE,Circular economy
Tetra tech,TTEK,NASDAQ,Clean water and oceans
Elsenutrition,BABY.V,OTCMKTS,Plant-based food
Ameresco Inc (AMRC),AMRC,NYSE,Energy-saving technology
American Superconductor Corporation (AMSC),AMSC,NASDAQ,Energy-saving technology
"Orion Energy Systems, Inc. (OESX)",OESX,NASDAQ,Energy-saving technology
Nextera Energy Partners LP (NEP),NEP,NYSE,Renewable energy
Stericycle Inc,SRCL,NASDAQ,Circular economy
The very good food company,VRYYF,OTCMKTS,Plant-based food
Brookfield Renewable Partners LP (BEP),BEP,NYSE,Renewable energy
"Vertex Energy, Inc",VTNR,NASDAQ,Circular economy
"Ormat Technologies, Inc. (ORA)",ORA,NYSE,Renewable energy
Atlantica,AY,NASDAQ,Renewable energy
TPI Composites Inc,TPIC,NASDAQ,Renewable energy
"Hannon Armstrong Sustainable Infrastructure Capital, Inc. (HASI)",HASI,NYSE,Renewable energy
America Water Works Company Inc,AWK,NYSE,Clean water and oceans
Xylem Inc,XYL,NYSE,Clean water and oceans
Evoqua,AQUA,NASDAQ,Clean water and oceans
Covanta Holding Corp (CVA),CVA,NYSE,Renewable energy
GreenPower Motor Company Inc.,GP,OTCMKTS,Transportation of the future
Renewable Energy Group Inc (REGI),REGI,NASDAQ,Renewable energy
Commercial metals,CMC,NASDAQ,Circular economy
Republic Services Inc,RSG,NYSE,Circular economy
"Cree, Inc. (CREE)",CREE,NASDAQ,Energy-saving technology
Waste Management (WM),WM,NYSE,Circular economy
Aemetis Inc (AMTX),AMTX,NASDAQ,Renewable energy
Solaredge Technologies Inc (SEDG),SEDG,NASDAQ,Renewable energy
Tattoed chef,TTCF,NASDAQ,Plant-based food
"Arcimoto, Inc.",FUV,NASDAQ,Transportation of the future
Canadian Solar Inc. (CSIQ),CSIQ,NASDAQ,Renewable energy
Workhorse Group Inc.,WKHS,NASDAQ,Transportation of the future
First Solar (FSLR),FSLR,NASDAQ,Renewable energy
Enphase Energy (ENPH),ENPH,NASDAQ,Renewable energy
Ballard Power Systems (BLDP),BLDP,NASDAQ,Transportation of the future
Beyond Meat (BYND),BYND,NASDAQ,Plant-based food
Sunrun Inc (RUN),RUN,NASDAQ,Renewable energy
"JinkoSolar Holding Co., Ltd (JKS)",JKS,NYSE,Renewable energy
SunPower Corporation (SPWR),SPWR,NASDAQ,Renewable energy
Blink Charging Co,BLNK,NASDAQ,Transportation of the future
NIKOLA,NKLA,NASDAQ,Transportation of the future
Plug Power Inc (PLUG),PLUG,NASDAQ,Transportation of the future
Tesla (TSLA),TSLA,NASDAQ,Transportation of the future
Quantumscape,QS,NASDAQ,Transportation of the future
Heritage-crystal clean,HCCI,NASDAQ,Circular economy
Daqo New Energy Corp.,DQ,NYSE,Renewable energy
Sunnova Energy International Inc.,NOVA,NYSE,Renewable energy
Companhia Paranaense de Energia - COPEL,ELP,NYSE,Renewable energy
NIO Limited,NIO,NYSE,Transportation of the future
"Clearway Energy, Inc.",CWEN,NYSE,Renewable energy
"CleanSpark, Inc.",CLSK,NASDAQ,Renewable energy
Beam Global,BEEM,NASDAQ,Transportation of the future
Eaton Corporation plc,ETN,NYSE,Energy-saving technology
Nel ASA,NLLSF,OTCMKTS,Renewable energy
Algonquin Power & Utilities Corp.,AQN,NYSE,Renewable energy
California Water Service Group,CWT,NYSE,Clean water and oceans
Companhia de Saneamento Básico do Estado de São Paulo - SABESP,SBS,NYSE,Clean water and oceans
"Willdan Group, Inc.",WLDN,NYSE,Energy-saving technology
Aptiv PLC,APTV,NYSE,Transportation of the future
Wabtec Corporation,WAB,NYSE,Transportation of the future
"Trinity Industries, Inc.",TRN,NYSE,Transportation of the future
"Aspen Aerogels, Inc.",ASPN,NYSE,Energy-saving technology
"Array Technologies, Inc.",ARRY,NASDAQ,Renewable energy
ReneSola Ltd,SOL,NYSE,Renewable energy
"Waste Connections, Inc.",WCN,NYSE,Circular economy
"Aqua Metals, Inc.",AQMS,NASDAQ,Circular economy
Harsco Corporation,HSC,NYSE,Circular economy
Avalon Holdings Corporation,AWX,NYSE,Circular economy
Darling Ingredients Inc.,DAR,NYSE,Circular economy
ON Semiconductor Corp (ON),ON,NASDAQ,Energy-saving technology
Power Integrations Inc (POWI),POWI,NASDAQ,Energy-saving technology
Universal Display Corporation,OLED,NASDAQ,Energy-saving technology
