Company,Ticker,Market,Industry,KwH per USD,KG CO2 per USD,Gallons water per USD,url,CEO
Aemetis,AMTX,NASDAQ,Renewable energy,0.000645042,-,-,http://www.aemetis.com/,Eric McAfee
Algonquin Power & Utilities,AQN,NYSE,Renewable energy,0.019087586,1.56E-07,0.155885399,http://algonquinpower.com,Ian Robertson
Ameresco,AMRC,NYSE,Energy-saving technology,0.100028761,-,-,http://www.ameresco.com,George Sakellaris
America Water Works Company,AWK,NYSE,Clean water and oceans,-,1.82E-08,0.018179012,https://www.amwater.com,Jeffry Sterba
American Superconductor Corporation,AMSC,NASDAQ,Energy-saving technology,-,-,-,http://www.amsc.com/,Daniel McGahn
Applied Materials,AMAT,NASDAQ,Energy-saving technology,-,0.5,-,http://www.appliedmaterials.com/,Gary Dickerson
Aptiv PLC,APTV,NYSE,Transportation of the future,-,-,-,https://www.aptiv.com,Kevin P. Clark
Aqua Metals,AQMS,NASDAQ,Circular economy,-,-,-,https://www.aquametals.com/,Stephen Cotton
Arcimoto,FUV,NASDAQ,Transportation of the future,-,-,-,https://www.arcimoto.com/,Mark Frohnmayer
Array Technologies,ARRY,NASDAQ,Renewable energy,-,-,-,https://arraytechinc.com/,Jim Fusaro
Aspen Aerogels,ASPN,NYSE,Energy-saving technology,-,-,-,https://www.aerogel.com,Donald R. Young
Atlantica,AY,NASDAQ,Renewable energy,0.383566202,2.78E-06,2.781262189,https://www.atlantica.com/,Santiago Seage Medela
Avangrid,AGR,NYSE,Renewable energy,0.344,-,-,https://www.avangrid.com/,Dennis Arriola
Azure Power,AZRE,NYSE,Renewable energy,0.630041367,-,-,https://www.azurepower.com,Ranjit Gupta
Badger Meter,BMI,NYSE,Clean water and oceans,1,1.72E-06,1.717782137,https://www.badgermeter.com/,Kenneth Bockhorst
Ballard Power Systems,BLDP,NASDAQ,Transportation of the future,-,-,-,http://www.ballard.com/,Randall MacEwen
Beam Global,BEEM,NASDAQ,Transportation of the future,-,-,-,https://beamforall.com,Albert Baladi
Beyond Meat,BYND,NASDAQ,Plant-based food,-,-,-,http://beyondmeat.com/,Ethan Brown
Blink Charging,BLNK,NASDAQ,Transportation of the future,1,-,-,https://blinkcharging.com,Michael Farkas
Brookfield Renewable Partners,BEP,NYSE,Renewable energy,0.875546098,-,-,https://www.bep.brookfield.com/,Sachin Shah
California Water Service Group,CWT,NYSE,Clean water and oceans,-,3.94E-08,0.039376929,https://www.calwatergroup.com/,Martin Kropelnicki
Canadian Solar,CSIQ,NASDAQ,Renewable energy,1,-,-,https://www.canadiansolar.com/,Xiaohua Qu
Capstone Turbine Corporation,CPST,NASDAQ,Energy-saving technology,1,-,-,https://www.capstoneturbine.com/,Darren Jamison
Casella Waste Systems,CWST,NASDAQ,Circular economy,1,-,-,https://www.casella.com/,John Casella
Centrais Eletricas Brasileiras,EBR,NYSE,Renewable energy,0.9,-,-,http://www.eletrobras.com/,Wilson Ferreira
Clean Harbors,CLH,NYSE,Circular economy,1,-,-,https://www.cleanharbors.com/,Alan McKim
CleanSpark,CLSK,NASDAQ,Energy-saving technology,-,-,-,https://www.cleanspark.com,S. Matthew Schultz
Clearway Energy,CWEN.C,NYSE,Renewable energy,0.396958511,-,-,https://www.clearwayenergygroup.com,Craig Cornelius
Commercial metals,CMC,NASDAQ,Circular economy,1,-,-,https://www.cmc.com,Barbara Smith
Companhia Energetica de Minas Gerais,CIG,NYSE,Renewable energy,1,-,-,https://novoportal.cemig.com.br,Reynaldo Passanezi Filho
