Unnamed: 0,Company,Ticker,Product,Market,Currency,Industry,Analyst_rating,Risk,Tier,Value_per_stock
70,iShares MSCI Global Impact (SDG),SDG,ETF,Chicago Board Options Exchange (CBOE),USD,Overall sustainability,0,0.081383274,Low,151.52
31,First Trust Global Wind Energy (FAN),FAN,ETF,ARCA,USD,Renewable energy,0,0.093535578,Low,151.52
44,Kellogg Company (K),K,Stock,NASDAQ,USD,Plant-based food,2.6,0.093592694,Low,151.52
67,Republic Services Inc,RSG,Stock,NYSE,USD,Circular economy,2,0.102034962,Low,151.52
86,Waste Management (WM),WM,Stock,NYSE,USD,Circular economy,2.4,0.108394318,Low,151.52
39,Iberdrola SA (IBDRY),IBDRY,Stock,OTCMKTS,USD,Renewable energy,0,0.108662625,Low,151.52
8,America Water Works Company Inc,AWK,Stock,NYSE,USD,Clean water and oceans,2.4,0.109830175,Low,151.52
64,Invesco Cleantech (PZD),PZD,ETF,ARCA,USD,Energy-saving technology,0,0.112094217,Low,151.52
74,Severn Trent PLC,SVT1.DU,Stock,FRA,EUR,Clean water and oceans,0,0.114211913,Low,230
30,VanEck Vectors Circular economy (EVX),EVX,ETF,ARCA,USD,Circular economy,0,0.119633313,Low,151.52
76,Suez SA,SEV.PA,Stock,FRA,EUR,Circular economy,0,0.128208434,Low,151.52
61,Royal Philips Electronics NV (PHG),PHG,Stock,NASDAQ,USD,Energy-saving technology,1,0.128541756,Low,151.52
29,Enviva (EVA),EVA,Stock,NYSE,USD,Renewable energy,2,0.129811895,Low,151.52
87,Xylem Inc,XYL,Stock,NYSE,USD,Clean water and oceans,2.9,0.135183074,Low,151.52
22,Casella Waste Systems Inc,CWST,Stock,NASDAQ,USD,Circular economy,1.8,0.136845976,Low,151.52
50,Nextera Energy Partners LP (NEP),NEP,Stock,NYSE,USD,Renewable energy,2.1,0.143584464,Low,151.52
95,Pentair PLC,PNR,Stock,NYSE,USD,Clean water and oceans,2.6,0.146106469,Low,151.52
0,AAK AB ,6AA0.F,Stock,FRA,EUR,Plant-based food,0,0.150208289,Low,151.52
3,AES Corp (AES),AES,Stock,NYSE,USD,Renewable energy,1.9,0.15083491,Low,151.52
51,Nibe Industrier AB,NJBC.BE,Stock,FRA,EUR,Energy-saving technology,0,0.151342208,Low,151.52
59,The PowerShares Global Clean Energy Portfolio (PBD),PBD,ETF,ARCA,USD,Renewable energy,0,0.151494192,Low,151.52
83,United Utilities Group PLC,UUEC.BE,Stock,FRA,EUR,Clean water and oceans,0,0.151678749,Low,151.52
41,Ingredion Inc,INGR,Stock,NYSE,USD,Plant-based food,2.4,0.15418144,Low,151.52
91,"SunOpta, Inc.",STKL,Stock,NASDAQ,USD,Plant-based food,1.7,0.275123613,Medium,151.52
21,Covanta Holding Corp (CVA),CVA,Stock,NYSE,USD,Renewable energy,2.2,0.277081175,Medium,151.52
18,"Cree, Inc. (CREE)",CREE,Stock,NASDAQ,USD,Energy-saving technology,2.9,0.286857261,Medium,151.52
4,Albemarle Corp,ALB,Stock,NYSE,USD,Transportation of the future,2.9,0.288350995,Medium,151.52
49,Nordex SE,NDX1.DE,Stock,FRA,EUR,Renewable energy,0,0.292888605,Medium,151.52
36,Green Plains Inc (GPRE),GPRE,Stock,NASDAQ,USD,Renewable energy,2,0.293223626,Medium,151.52
34,First Solar (FSLR),FSLR,Stock,NASDAQ,USD,Renewable energy,2.7,0.299265552,Medium,151.52
47,Livent Corp,LTHM,Stock,NYSE,USD,Transportation of the future,2.7,0.405169314,High,151.52
33,FirstGroup PLC,FGR.AX,Stock,FRA,EUR,Transportation of the future,0,0.407021432,High,151.52
71,Solaredge Technologies Inc (SEDG),SEDG,Stock,NASDAQ,USD,Renewable energy,2.8,0.42674885,High,151.36
