,Company,Ticker,Market,Industry,KwH per USD,KG CO2 per USD,Gallons water per USD,Analyst_rating,Risk,Trend,Volume
0,Aemetis,AMTX,NASDAQ,Renewable energy,0.000645042,-,-,1.8,0.1277346624269275,y,y
1,Algonquin Power & Utilities,AQN,NYSE,Renewable energy,0.019087586,1.56E-07,0.155885399,0.0,0.012645146973668489,y,y
2,Ameresco,AMRC,NYSE,Energy-saving technology,0.100028761,-,-,1.6,0.04270370459691838,y,y
3,America Water Works Company,AWK,NYSE,Clean water and oceans,-,1.82E-08,0.018179012,2.2,0.015322335713403225,y,y
4,American Superconductor Corporation,AMSC,NASDAQ,Energy-saving technology,-,-,-,2.0,0.05445209818253195,y,y
5,Applied Materials,AMAT,NASDAQ,Energy-saving technology,-,0.5,-,1.9,0.032101267740411374,y,y
6,Aptiv PLC,APTV,NYSE,Transportation of the future,-,-,-,2.2,0.023323347697858942,y,y
7,Aqua Metals,AQMS,NASDAQ,Circular economy,-,-,-,1.5,0.09471031902965324,n,y
8,Arcimoto,FUV,NASDAQ,Transportation of the future,-,-,-,2.2,0.0960515571428728,y,y
9,Array Technologies,ARRY,NASDAQ,Renewable energy,-,-,-,2.4,0.04034283206122383,n,y
10,Aspen Aerogels,ASPN,NYSE,Energy-saving technology,-,-,-,2.0,0.04348641796091974,y,n
11,Atlantica,AY,NASDAQ,Renewable energy,0.383566202,2.78E-06,2.781262189,2.4,0.029682358646527546,y,y
12,Avangrid,AGR,NYSE,Renewable energy,0.344,-,-,3.2,0.013328746949592423,y,y
13,Azure Power,AZRE,NYSE,Renewable energy,0.630041367,-,-,2.0,0.043885162388399096,y,y
14,Badger Meter,BMI,NYSE,Clean water and oceans,1,1.72E-06,1.717782137,2.9,0.022209904273759358,y,n
15,Ballard Power Systems,BLDP,NASDAQ,Transportation of the future,-,-,-,2.1,0.05837507772786028,y,y
16,Beam Global,BEEM,NASDAQ,Transportation of the future,-,-,-,2.2,0.08934080690008175,y,y
17,Beyond Meat,BYND,NASDAQ,Plant-based food,-,-,-,3.0,0.04106471769545544,y,y
18,Blink Charging,BLNK,NASDAQ,Transportation of the future,1,-,-,2.2,0.10146498218097148,y,y
19,Brookfield Renewable Partners,BEP,NYSE,Renewable energy,0.875546098,-,-,1.8,0.02216876920242082,y,y
20,California Water Service Group,CWT,NYSE,Clean water and oceans,-,3.94E-08,0.039376929,3.0,0.01759053831418326,y,n
21,Canadian Solar,CSIQ,NASDAQ,Renewable energy,1,-,-,2.1,0.04435702017428657,y,y
22,Capstone Turbine Corporation,CPST,NASDAQ,Energy-saving technology,1,-,-,2.0,0.06550573295717724,y,y
23,Casella Waste Systems,CWST,NASDAQ,Circular economy,1,-,-,2.0,0.016422460937674813,y,y
24,Centrais Eletricas Brasileiras,EBR,NYSE,Renewable energy,0.9,-,-,1.0,0.034412025945558304,y,y
25,Clean Harbors,CLH,NYSE,Circular economy,1,-,-,1.9,0.019323988776297873,y,n
26,CleanSpark,CLSK,NASDAQ,Energy-saving technology,-,-,-,1.5,0.09019615196747442,n,y
28,Commercial metals,CMC,NASDAQ,Circular economy,1,-,-,3.0,0.030244148772464504,y,y
29,Companhia Energética de Minas Gerais,CIG,NYSE,Renewable energy,1,-,-,2.3,0.027932328330802926,n,y
30,Companhia Paranaense de Energia - COPEL,ELP,NYSE,Renewable energy,1,-,-,3.0,0.030334279428198784,y,y
31,Consolidated Water,CWCO,NASDAQ,Clean water and oceans,-,4.40E-05,5,2.5,0.023140064143510334,y,n
32,Covanta Holding Corp,CVA,NYSE,Circular economy,1,-,-,2.1,0.02061401628918234,n,y
33,Cree,CREE,NASDAQ,Energy-saving technology,-,-,-,2.6,0.044805715803914924,y,y
34,Daqo New Energy,DQ,NYSE,Renewable energy,1,-,-,1.7,0.07341656369001169,y,y
35,Darling Ingredients,DAR,NYSE,Circular economy,-,-,-,1.8,0.030122693904142805,y,y
36,Digi International,DGII,NASDAQ,Energy-saving technology,-,-,-,1.9,0.03744410530272465,y,n
37,Eaton Corporation,ETN,NYSE,Energy-saving technology,-,-,-,2.0,0.01575551220693843,y,y
38,Ecolab,ECL,NYSE,Clean water and oceans,-,-,0.16,2.6,0.017444322654654777,y,y
39,Energy Recovery,ERII,NASDAQ,Clean water and oceans,-,-,-,1.7,0.028249369676322002,y,n
40,Enphase Energy,ENPH,NASDAQ,Renewable energy,-,-,-,2.2,0.049228168192420894,y,y
41,EnerSys,ENS,NYSE,Energy-saving technology,-,0.17,-,2.0,0.02339335676787977,y,n
42,Evoqua,AQUA,NASDAQ,Clean water and oceans,-,7.60E-08,0.076042026,2.1,0.029124571954335904,y,y
